0,-0.03008754
1,0.04012346
2,0.04956081
3,-0.08636595
4,-0.13683601
5,0.00000001
6,0.17470388
7,0.00468000
8,-0.05228652
9,0.16770451
10,-0.05555554
11,0.00454545
12,-0.00833333
13,0.03205128
14,-0.00694444
15,-0.04838710
16,-0.03571429
17,0.03274886
18,-0.04878047
19,-0.05710660
20,0.11324786
21,-0.18243243
22,0.18498452
23,0.00862069
24,-0.18127961
25,-0.06016043
26,0.13210559
27,0.17702703
28,0.25056806
29,0.02160494
30,0.10294265
31,0.08023768
32,0.07867133
33,-0.11363637
34,0.22940075
35,0.09912340
36,-0.15520446
37,-0.05392157
38,-0.00247525
39,-0.06118881
40,-0.03685957
41,-0.02227723
42,0.01363636
43,0.01595745
44,0.06168831
45,-0.05412658
46,-0.00238095
47,-0.01881720
48,0.00000000
49,0.10433071
50,0.01110289
51,-0.08918129
52,-0.06280788
53,0.19290657
54,-0.00709859
55,0.26941746
56,0.23989899
57,0.14779006
58,0.13709678
59,0.12240860
60,-0.03886010
61,0.20588236
62,0.11256944
63,0.00454545
64,0.15933369
65,0.03330867
66,0.05954942
67,0.01470588
68,0.05645161
69,0.02981651
70,0.01470588
71,0.05188679
72,-0.00274725
73,0.06355932
74,0.02227723
75,-0.04000000
76,0.01666667
77,-0.08846154
78,0.02450980
79,-0.05487805
80,-0.10169491
81,0.02777778
82,-0.15000001
83,-0.16365463
84,-0.04986208
85,0.08542319
86,-0.14897865
87,-0.14269407
88,0.26821864
89,0.04343629
90,0.19599304
91,-0.06048387
92,0.01388889
93,0.05122787
94,0.25000000
95,-0.10608856
96,0.03145938
97,-0.06593407
98,-0.02486989
99,0.14024390
100,-0.12903225
101,0.08409963
102,-0.08492823
103,0.01970954
104,-0.02343750
105,-0.10833333
106,-0.00522388
107,-0.04249012
108,0.07405064
109,0.12317784
110,-0.06680769
111,0.01490066
112,0.03507795
113,0.00517241
114,-0.08673470
115,0.01591734
116,0.06937173
117,-0.06518152
118,-0.05000000
119,0.06343555
120,0.02839335
121,0.00695931
122,0.08333334
123,-0.04397786
124,0.04896907
125,0.07487310
126,0.06582528
127,-0.10464475
128,0.02272727
129,0.08246753
130,-0.07524484
131,-0.07244960
132,-0.05358352
133,-0.05483567
134,0.04620253
135,-0.04184549
136,0.06213598
137,-0.05567536
138,-0.06629183
139,0.07057165
140,-0.01665435
141,-0.01371248
142,0.11571429
143,0.04761905
144,0.06051345
145,0.06061951
146,-0.05170298
147,0.06632653
148,0.08507854
149,-0.13461539
150,-0.03549284
151,0.10176799
152,-0.03902779
153,0.05335403
154,-0.05377359
155,0.00941423
156,-0.04069768
157,-0.02397260
158,0.00704225
159,0.03542831
160,-0.04215167
161,-0.08143224
162,0.03638763
163,0.11887608
164,-0.08276421
165,-0.01516387
166,0.03828829
167,0.01077147
168,-0.03933333
169,0.10829334
170,0.02706503
171,0.00720165
172,-0.03611111
173,-0.09403670
174,0.02894737
175,-0.04215167
176,0.10854342
177,0.08381731
178,0.04752932
179,-0.03064516
180,0.02556110
181,-0.10215947
182,0.00652174
183,0.10149071
184,0.00355450
185,0.02232143
186,-0.03389831
187,-0.05508475
188,-0.00087108
189,-0.01789307
190,-0.05403458
191,0.04906542
192,-0.00563910
193,-0.04081633
194,0.03909091
195,-0.11578729
196,-0.02241379
197,0.03698225
198,-0.04494382
199,0.02794562
200,0.00297619
201,-0.03486647
202,-0.03571429
203,-0.03139535
204,-0.06621622
205,0.12630662
206,0.00333333
207,-0.04927007
208,-0.02565982
209,-0.07344214
210,0.15594059
211,0.00630893
212,0.09133333
213,-0.02966102
214,-0.02272727
215,0.02246377
216,0.07080200
217,0.00104603
218,0.08074936
219,-0.02234043
220,-0.06147541
221,-0.01665433
222,0.02083333
223,0.01923077
224,0.02038627
225,0.06081081
226,-0.03906250
227,0.01446281
228,0.03627451
229,-0.03297872
230,0.06527094
231,-0.15465425
232,0.13095239
233,0.01550869
234,0.00541126
235,-0.00308642
236,0.02894737
237,0.00182482
238,-0.02310924
239,0.03514056
240,-0.02323484
241,-0.02160494
242,-0.01638427
243,0.02011494
244,-0.02828724
245,-0.01633166
246,0.00000000
247,-0.10452032
248,0.07517482
249,-0.03688525
250,0.08333334
251,0.06005587
252,-0.05094267
253,0.02466337
254,-0.07843138
255,-0.03412256
256,0.00408502
257,0.04411765
258,0.00000001
259,0.03804348
260,0.00415282
261,-0.09607034
262,-0.01943005
263,-0.05501930
264,0.00570033
265,-0.07184517
266,-0.02479810
267,-0.02586207
268,-0.08406114
269,0.06086142
270,-0.04801324
271,-0.04330129
272,0.05769231
273,-0.08333334
274,-0.08088236
275,-0.05248640
276,0.01623797
277,-0.05985916
278,0.07904884
279,-0.02405626
280,-0.05718954
281,0.00327511
282,0.09782609
283,0.05201342
284,-0.00661088
285,0.04658793
286,0.01642336
287,0.11200717
288,-0.05035032
289,-0.01547231
290,-0.03481013
291,0.04113924
292,-0.05136986
293,-0.06221447
294,-0.00509427
295,0.02302632
296,0.02815700
297,0.00988613
298,-0.01765799
299,-0.09824281
300,-0.01374643
301,-0.01639344
302,-0.10781133
303,-0.04365079
304,0.01507937
305,-0.02500000
306,0.03625954
307,-0.07080925
308,0.02886751
309,-0.03350515
